"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"P_Llop_7 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,15,15,20,30,30,30,80,100,100,100,100
"P_Llop_7 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_7 2017 Tractament",0,0,0,0,0,0,0,0,0,10,15,20,20,20,40,60,90,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_8 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_8 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,15,25,25,50,50,50,100
"P_Llop_8 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_8 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,10,10,10,15,15,15,15,20,20,35,90,90,90,100,100,100,100,100
"P_Llop_8 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_8 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,20,70,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_9 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_9 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,15,15,15,15
"P_Llop_9 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_9 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,90,90,90,90,90
"P_Llop_9 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_9 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,70,100,100,100,100,100,100,100,100,100,100,100
"Tascons_1 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_1 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,10,10,10,10,10,10,10,30,30,30,50
